"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150022, 1578, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 32728, 0.000E+0, 0.000, 37123, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150111, 879, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 60153, 0.000E+0, 0.000, 69138, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 0, 1, 1, 1, 1, "0", "0", 0, " ", 20060327, 150200, 0, "           ", "P", 1.000E+0, 1.000, 131, 1.000E+0, 1.000, 124, 1.000E+0, 1.000, 218, 1.000E+0, 1.000, 270, "pC"
"M6600", 1, 0, 1, 1, 1, 1, "0", "0", 0, " ", 20060327, 150243, 0, "           ", "R", 1.000E+0, 1.000, 10995454, 1.000E+0, 1.000, 10980358, 1.000E+0, 1.000, 10819175, 1.000E+0, 1.000, 10887135, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150329, 4500, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 34457, 0.000E+0, 0.000, 40331, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150415, 7913, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 46273, 0.000E+0, 0.000, 59084, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150502, 3233, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 43017, 0.000E+0, 0.000, 45009, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150550, 6705, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 46344, 0.000E+0, 0.000, 73723, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150639, 10297, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 93767, 0.000E+0, 0.000, 101713, 1.000E+0, 1.000, 0, "pC"
"M6600", 1, 9, 0, 1, 1, 0, "3", "0", 0, " ", 20060327, 150729, 1184, "           ", " ", 1.000E+0, 1.000, 0, 0.000E+0, 0.000, 56856, 0.000E+0, 0.000, 76140, 1.000E+0, 1.000, 0, "pC"
